State,Branch Name,City,Lat,Long,,,,,,
Arkansas,City Electric Supply Lowell,Lowell,36.244171,-94.13471,,,,,,
Arkansas,City Electric Supply Conway,Conway,35.0936073,-92.439017,,,,,,
Arkansas,City Electric Supply Batesville,Batesville,35.76661,-91.64753,,,,,,
Arkansas,City Electric Supply Jonesboro,Jonesboro,35.8080433,-90.6495367,,,,,,
Arkansas,City Electric Supply Alexander,Alexander,34.6405122,-92.4428259,,,,,,
Florida,City Electric Supply Florida City,Florida City,25.4577693,-80.4797378,,,,,,
Florida,City Electric Supply Tampa Central,Tampa Central,28.015427,-82.4599417,,,,,,
Florida,City Electric Supply Miami Central,Miami Central,25.7623035,-80.30879,,,,,,
Florida,City Electric Supply Orlando South,Orlando South,28.4627345,-81.3699809,,,,,,
Florida,City Electric Supply Fort Lauderdale North,Fort Lauderdale North,26.1915325,-80.1579948,,,,,,
Florida,City Electric Supply Medley,Medley,25.8247035,-80.3164919,,,,,,
Florida,City Electric Supply Orlando Central,Orlando Central,28.5078192,-81.4278671,,,,,,
Florida,City Electric Supply Miami Gardens,Miami Gardens,25.9141173,-80.2555505,,,,,,
Florida,City Electric Supply Hollywood,Hollywood,26.0234266,-80.1482624,,,,,,
Florida,City Electric Supply Miramar,Miramar,25.9769962,-80.3069223,,,,,,
Florida,City Electric Supply West Palm Beach,West Palm Beach,26.7075787,-80.104038,,,,,,
Florida,City Electric Supply West Park,West Park,25.991171,-80.2080404,,,,,,
Florida,City Electric Supply Palm Harbor,Palm Harbor,28.0498767,-82.739637,,,,,,
Florida,City Electric Supply Winter Haven,Winter Haven,28.0459127,-81.7767284,,,,,,
Florida,City Electric Supply Kissimmee,Kissimmee,28.320508,-81.3920272,,,,,,
Florida,City Electric Supply St. Petersburg,St. Petersburg,27.7913075,-82.6719153,,,,,,
Florida,City Electric Supply St. Augustine,St. Augustine,29.8704672,-81.3317482,,,,,,
Florida,City Electric Supply Clearwater,Clearwater,27.8866724,-82.7154442,,,,,,
Florida,City Electric Supply Port St. Lucie,Port St. Lucie,27.3324397,-80.4071411,,,,,,
Florida,City Electric Supply Clermont,Clermont,28.567531,-81.7337477,,,,,,
Florida,City Electric Supply Mandarin,Mandarin,30.1494918,-81.6409217,,,,,,
Florida,City Electric Supply Altamonte Springs,Altamonte Springs,28.6550469,-81.4238566,,,,,,
Florida,City Electric Supply Wynwood,Wynwood,25.8097965,-80.199215,,,,,,
Florida,City Electric Supply Pompano,Pompano,26.2696647,-80.1359236,,,,,,
Florida,City Electric Supply Bradenton,Bradenton,27.4782785,-82.5544148,,,,,,
Florida,City Electric Supply Sanford FL,Sanford FL,28.7739932,-81.2773919,,,,,,
Florida,City Electric Supply Lake Worth,Lake Worth,26.628516,-80.1124898,,,,,,
Florida,City Electric Supply Fort Lauderdale South,Fort Lauderdale South,26.1226485,-80.1552695,,,,,,
Florida,City Electric Supply Ocala,Ocala,29.1833729,-82.170082,,,,,,
Florida,City Electric Supply Davie,Davie,26.070558,-80.2106063,,,,,,
Florida,City Electric Supply Riviera Beach,Riviera Beach,26.7907504,-80.092455,,,,,,
Florida,City Electric Supply North Port,North Port,27.091445,-82.1584862,,,,,,
Florida,City Electric Supply Summerfield,Summerfield,28.9872613,-81.9904397,,,,,,
Florida,City Electric Supply Cooper City,Cooper City,26.0524461,-80.3124616,,,,,,
Florida,City Electric Supply Oviedo,Oviedo,28.62083,-81.215003,,,,,,
Florida,City Electric Supply Orlando West,Orlando West,28.5569104,-81.5448143,,,,,,
Florida,City Electric Supply Daytona Beach,Daytona Beach,29.244396,-81.062806,,,,,,
Florida,City Electric Supply Cape Coral,Cape Coral,26.6345753,-81.9508658,,,,,,
Florida,City Electric Supply Brandon,Brandon,27.9350874,-82.2967618,,,,,,
Florida,City Electric Supply Sarasota,Sarasota,27.299169,-82.5250067,,,,,,
Florida,City Electric Supply Sweetwater,Sweetwater,25.7939644,-80.3720646,,,,,,
Florida,City Electric Supply Gainesville East,Gainesville East,29.6754278,-82.3028199,,,,,,
